exam_name,question_number,question_text,A,B,C,D,correct_label,topic,subtopic,explanation
examreview_103462980,1,"In a contract, one of the parties only met a few of the terms. The other party accepted the work that had been done and said the contract was complete. What is this an example of?",Accepting partial performance,Mutually rescinding the contract,Rescinding the contract unilaterally,Suing for damages,A,Contracts,General,"In this example, the party accepted partial performance as a means of remedying the breach of contract."
examreview_103462980,2,What does the lot and block system use to develop a property's legal description?,Compass headings and directions,Plat references,Principal meridians and base lines,Townships and sections,B,Property Ownership and Land Use Controls and Regulations,Descriptions of Property,The lot and block system uses plat references to develop a property's legal description.
examreview_103462980,3,Which option best defines an equitable lien?,An income tax lien,A real property tax lien,Created by a court of common law; doesn't give the right to possession of the property,Created by law and gives right of possession,C,Property Ownership and Land Use Controls and Regulations,Encumbrances,An equitable lien is created by a court of common law and doesn't give the right to possession of the property.
examreview_103462980,4,Which of the following is true of construction loans?,The lender funds the loan up front.,"The loan can only be used on vacant land, not land with improvements already on it.",The loan is based on the builder's plans for improvement and an appraisal.,This is a type of long-term financing with a low interest rate.,C,Financing,Types of Loans,Plans and specifications of the improvements and an appraisal are needed before a lender will approve a construction loan.
examreview_103462980,5,This statute allows a public agency to issue bonds for the improvement of subdivision street surfaces.,Mello-Roos,Street Improvement Act of 1911,The Improvement Bond Act of 1915,Vrooman Street Act,C,Property Ownership and Land Use Controls and Regulations,Government Rights in Land,The Improvement Bond Act of 1915 allows a public agency to issue bonds for the improvement of subdivision street surfaces.
examreview_103462980,6,Which of the following best describes the state of the market during the expansion phase of the real estate cycle?,High but stabilized unemployment and a high number of foreclosures,"Increases in hiring, employment, and public confidence, and lots of buyers in the market","Properties selling at inflated prices, many buyers in the market, and lots of new construction","Unemployment increasing, prices falling, and foreclosures on the rise",B,Property Valuation and Financial Analysis,Value,"Expansion is when activity starts to really pick up. Companies are hiring, so unemployment decreases. Higher employment means more buyers in the market and more overall public confidence."
examreview_103462980,7,A consumer whose number is on the Do Not Call Registry received a call from a licensee and said the number was on the registry. The licensee called again a few days later. What federal act is the licensee violating?,Anti-Telemarketer Act of 2000,CAN-SPAM Act of 2003,Do Not Call Implementation Act of 2003,Junk Fax Prevention Act of 2005,C,"Practice of Real Estate and Disclosures, Including Specialty Areas",Truth in Advertising,"The Do Not Call Implementation Act of 2003 makes phone solicitation illegal to numbers on the Do Not Call Registry unless a business relationship or permission exists. Neither of these exists here, so the licensee may be committing a violation."
examreview_103462980,8,A buyer cannot afford the full 20% down payment required by their lender. The seller offers to finance the difference between the home's price and the lender's loan amount. What is this type of financing called?,Equity mortgage,Purchase agreement,Purchase money mortgage,Seller-insured loan,C,Financing,Types of Loans,"A purchase money mortgage is the term for seller financing that's typically used to bridge the gap between the home's list price and the institutional loan, though it can also be used to finance the entire purchase price."
examreview_103462980,9,What often comprises the sum total of a buyer's mortgage payment?,Principal and interest,Principal and taxes,"Principal, interest, and taxes","Principal, interest, taxes, and insurance",D,Financing,General Concepts,"Often, the insurance and taxes are rolled into the mortgage payment, along with the principal and interest owed."
examreview_103462980,10,"As a security precaution, which of the following is something you should do?",Limit the amount of personal information you post.,Post addresses to open houses on social media sites.,Post photos of yourself with expensive jewelry or belongings.,Post that you're alone at an open house.,A,"Practice of Real Estate and Disclosures, Including Specialty Areas",Technology,You should limit the amount of personal information you post as a security precaution.
