exam_name,question_number,topic,subtopic,question_text,A,B,C,D,correct_label,explanation
examreview_103721974,1,"Practice of Real Estate and Disclosures, Including Specialty Areas",Disclosure of Material Facts Affecting Property Value,"The EPA-approved pamphlet, ""Protect Your Family From Lead in Your Home,"" provides buyers and renters with ______.",A list of health centers that can treat the effects of lead toxicity,A list of homes that have been confirmed as containing lead-based paint,Information about identifying and controlling lead-based paint hazards,Information about the presence of lead in heating and cooling systems,C,The EPA pamphlet provides information about identifying and controlling lead hazards for people living in homes that may contain lead-based paint.
examreview_103721974,2,"Practice of Real Estate and Disclosures, Including Specialty Areas",Licensing and Continuing Education Requirements and Procedures,"In California, an individual performing real estate activities under the judgment or order of a court, such as a trustee in a bankruptcy, is ______.",An exception to the real estate licensing requirement,Required to have a broker license,Required to have at least an associate broker license,Required to have at least a salesperson license,A,This is one of the specific circumstances when licensure is not required.
examreview_103721974,3,Contracts,General,In what way does good consideration differ from valuable consideration?,Good consideration is a gift,Good consideration is a promise to do something,Good consideration is llegal.,"Valuable consideration must always be in cash, but good consideration may be a loan.",A,"Good consideration is a gift. For example, it could be a gift of a car from one family member to another."
examreview_103721974,4,"Practice of Real Estate and Disclosures, Including Specialty Areas",Technology,Which of the following describes the process of making a copy of a website for the purpose of obtaining money or data from unsuspecting users?,Backing up files to an external hard drive,Cloning,Encrypting your email,Storing logins and passwords,B,"While cloning can be one for legitimate business purposes (when the cloner owns both sites), illegal cloning involves copying a website to scam unsuspecting users."
examreview_103721974,5,"Practice of Real Estate and Disclosures, Including Specialty Areas",Specialty Areas,Rhonda is considering what her niche should be. Which of the following would make the best niche for her to pursue?,She could focus on only residential properties.,"She could focus on single-family properties that list between $300,000 and $500,000.",She could guarantee a sale at list price within 30 days.,She could start learning Spanish and serve Spanish-speaking clients.,B,"A niche can be defined in many ways. Property value is one way to create that definition; a link to existing skills, hobbies, or knowledge is another way."
examreview_103721974,6,Property Ownership and Land Use Controls and Regulations,Public Controls,Kenny is updating a bathroom. Under what circumstances is a contractor's license required?,If he is not the homeowner and the work costs less than $500,If he is preparing his house to sell,If he is the homeowner,If he is the homeowner and the work costs more than $500,B,"Homeowners are exempt if they don't intend to sell. Work (including labor and materials) that costs more than $500 requires a license; however, disclosure that the person performing the work does not have a contractor's license is required."
examreview_103721974,7,"Practice of Real Estate and Disclosures, Including Specialty Areas",General Ethics,"Regarding documentation, which of the following actions can help a licensee avoid being accused of unauthorized practice of law?","Disclosing in writing to all parties in a transaction that the licensee isn't a licensed attorney, so there's no licensee liability",Having a designated broker review and notarize all completed contracts,Having a designated broker write all contracts from scratch to make them specific to each transaction,Using approved fill-in-the-blank forms,D,"As a licensee, one way you can avoid inadvertently being accused of unauthorized practice of law is to use approved, fill-in-the-blank contract forms, and to always include an attorney review clause."
examreview_103721974,8,"Practice of Real Estate and Disclosures, Including Specialty Areas",Licensing and Continuing Education Requirements and Procedures,What must be true for a corporation to conduct real estate activities?,All officers must hold a broker license,All officers must hold a salesperson license,At least one officer must hold a broker license,At least one officer must hold a salesperson license,C,"Corporations must have at least one officer with a broker license. The officer must also act as the responsible designated broker-officer for the corporation. Other officers may be licensed brokers, but only one is a broker-officer."
examreview_103721974,9,Property Ownership and Land Use Controls and Regulations,Government Rights in Land,You've assisted the Juarez family with the purchase of a beautiful home in an established neighborhood. The sellers had owned the home since 1980. What's true about the amount of property tax the Juarezes will pay for their new home?,"It will be reassessed because of the transfer, and the Juarezes will be taxed at 1% of the home's current market value.","It will be reassessed because of the transfer, and the Juarezes will be taxed no more than 2% of the home's current market value.","It will be the same as the tax the seller paid annually, according to Proposition 13 limits.","It will no longer be covered under Proposition 13 property tax limits due to the transfer, so the Juarezes may be assessed as much as 35% of the home's current market value.",A,"According to the laws passed with Proposition 13, the property will be reassessed at its full market value when it transfers, but the property tax may be no more than 1% of that value. This becomes its new base value."
examreview_103721974,10,"Practice of Real Estate and Disclosures, Including Specialty Areas",Trust Account Management,Which of the following is the most severe potential consequence of failing to comply with regulations for the handling of trust funds?,Liability for damages to the client,License revocation,License revocation and financial liability for damages incurred by the client,License suspension,C,There are several potential consequences for failure to comply with regulations for the handling of trust funds.
examreview_103721974,11,Property Ownership and Land Use Controls and Regulations,Environmental Hazards and Regulations,Children and pregnant women are especially vulnerable to poisoning caused by what hazard?,Asbestos,Lead,Oil,Pigment,B,Children and pregnant women are the most vulnerable members of a family to lead poisoning and its effects.
examreview_103721974,12,"Practice of Real Estate and Disclosures, Including Specialty Areas",Disclosure of Material Facts Affecting Property Value,Which one of the following could be an indication of a foundation problem?,Crack in a basement wall,Doors that open and close easily,Lack of moisture in the basement,Windows that open and close properly,A,"A crack in a basement wall can indicate a foundation problem, depending on the size/depth of the crack. Buyers need to know about issues with the foundation prior to buying a property."
examreview_103721974,13,"Practice of Real Estate and Disclosures, Including Specialty Areas",Technology,Which of the following should be avoided because it can attract thieves?,Giving referrals,Posting friend requests,Posting photos of your clients' expensive belongings,Turning off location information,C,Posting photos of your clients' expensive belongings can attract thieves.
examreview_103721974,14,Contracts,General,What language may be included in a contract after the assignor's name to make it clear that the contract is assignable?,"""And/or assigns""","""Buyer beware""","""Spouse or partner""","""Time is of the essence""",A,"The phrase ""and/or assigns"" helps make it clear that the contract is assignable."
examreview_103721974,15,"Practice of Real Estate and Disclosures, Including Specialty Areas",DRE Jurisdiction and Disciplinary Actions,What is the California Department of Real Estate responsible for?,Advertising listings in California,Connecting consumers with real estate licensees,Regulating the real estate industry,Valuing real property in California,C,The California Department of Real Estate regulates real estate in California.
examreview_103721974,16,Property Ownership and Land Use Controls and Regulations,Descriptions of Property,A surveyor created a lot and block survey for a new residential development. What type of description was referenced during the first step of surveying the new neighborhood?,Map,Metes and bounds description,Monument,Plat book,B,The lot and block system always begins with one of two types of land descriptions as a reference point: either a metes and bounds description or an rectangular government survey system description.
examreview_103721974,17,"Practice of Real Estate and Disclosures, Including Specialty Areas",Fair Housing Laws,Identify the action that is illegal under California fair housing laws.,"A landlord gives a tenant notice to vacate after she notices the tenant, a man, has begun dressing as a woman.","Brenda, a licensee, is learning Spanish to better converse with her Spanish-speaking clients.","Manny, a landlord, refuses to rent to motorcycle riders.","Tess, who owns a rental, refuses to allow waterbeds because of their weight.",A,Gender identity and expression are protected classes in California.
examreview_103721974,18,"Practice of Real Estate and Disclosures, Including Specialty Areas",Technology,The MLS offers several advantages to sellers. What's one of these advantages?,Increased market exposure,Increased privacy,Increased security,Lower brokerage fees,A,Broader exposure is the benefit here.
examreview_103721974,19,"Practice of Real Estate and Disclosures, Including Specialty Areas",Truth in Advertising,Licensees from different firms are tired of competing for the same listings. They divide up the city into territories so they don't step on each other's toes. What type of antitrust violation is this?,Group boycotting,Market allocation,Price fixing,Tie-in arrangements,B,An agreement to segment the market between competing firms is illegal market allocation.
examreview_103721974,20,"Practice of Real Estate and Disclosures, Including Specialty Areas",Licensing and Continuing Education Requirements and Procedures,Which of these real estate licensees may be exempt from the continuing education requirements for license renewal?,Al is 70 years old and has been licensed in good standing for 30 consecutive years.,Candice is 55 years old and has been licensed in good standing for 30 consecutive years.,Savannah is the broker of record responsible for supervising five salespeople.,Willard is 70 years old and has been licensed in good standing for 20 consecutive years.,A,Remember this as the 70/30 rule. Licensees who are at least 70 years old and who are licensed in good standing for at least 30 consecutive years are exempt from the continuing education requirements.
examreview_103721974,21,Financing,Types of Loans,What is a wrap-around mortgage?,One that involves more than one property,One that involves personal property in addition to real property,One that involves unqualified borrowers,One that may involve seller financing,D,A wrap-around mortgage is one where the buyer's new loan wraps around the seller's existing financing. The seller uses a portion of the buyer's payments to the seller to pay on the original loan.
examreview_103721974,22,"Practice of Real Estate and Disclosures, Including Specialty Areas",Fair Housing Laws,Which of these statements accurately describes the formal DFEH complaint process?,A formal complaint is only filed if a full investigation reveals a violation of the law.,DFEH cases are litigated by private lawyers.,"The formal process begins with filing of a complaint and ends with remedies. In the middle, you have investigation, pursuit of resolution, and litigation.",The process begins with mediation in an effort to avoid a costly investigation.,C,"The formal process begins with filing of a complaint, then proceeds to investigation. If a violation is found, the process continues until resolution is found, which may be through litigation by the DFEH."
examreview_103721974,23,Contracts,Purchase/Lease Options,"Sanjeev leases a house from Clara, and the lease has an option contract attached that permits Sanjeev to buy the house if he chooses to exercise the option within three years. How large does the option fee need to be in order to be legally binding?",10% of the purchase price,1% of the purchase price,Any amount agreed to by the parties,"At least $1,000",C,There is no minimum option fee-any amount agreed to by the parties is sufficient.
examreview_103721974,24,"Practice of Real Estate and Disclosures, Including Specialty Areas",Technology,"When information is stolen from online real estate listings, what is it known as?",Partitioning,Scraping,Scrounging,Slicing,B,"This practice is known as scraping, and the information is then used in online rental scams."
examreview_103721974,25,Contracts,General,Which of the following requires that contracts transferring ownership of real property be in writing to be enforceable?,Code of ethics,Fair Housing Act,Statute of frauds,Statute of limitations,C,The statute of frauds requires that contracts transferring ownership of real property be in writing to be enforceable.
examreview_103721974,26,Financing,Sources of Financing,How do the primary and secondary mortgage markets work together?,The primary market packages loans to sell to the secondary market.,The primary market regulates the secondary market.,The secondary market packages loans to sell to the primary market.,The secondary market regulates the primary market.,A,The primary market packages loans and sells them to the secondary mortgage market.
examreview_103721974,27,"Practice of Real Estate and Disclosures, Including Specialty Areas",Fair Housing Laws,Which act states that communities and facilities that meet certain criteria for providing housing to older persons are legally exempt from familial status discrimination?,Fair Housing Act of 1968,Fair Housing Amendments Act of 1988,Housing and Community Development Act of 1974,Housing for Older Persons Act of 1995,D,"Under the Housing for Older Persons Act of 1995, housing must have one person who is 55 or older residing in at least 80% of its occupied units to be exempt from charges of familial status discrimination by age preference."
examreview_103721974,28,"Practice of Real Estate and Disclosures, Including Specialty Areas",Technology,Which of the following is true about the security of your clients' information?,Client data can be compromised if the brokerage's computer system is compromised.,Data security is one-size-fits-all.,Poor record retention ensures data security.,There is nothing a licensee can do to safeguard client data.,A,Brokerage and licensees are responsible for the safety and proper use of client information. Your clients' data can be compromised if the brokerage's computer system is compromised.
examreview_103721974,29,Property Ownership and Land Use Controls and Regulations,Private Controls,A couple bought a house with a gas line easement on the property. An easement like this one placed by the utility company is an example of a ______.,Covenant,Deed restriction,Private land control,Subdivision regulation,C,"Private land controls include covenants, conditions, and restrictions (CC&Rs); HOA or subdivision regulations; liens; and easements."
examreview_103721974,30,"Practice of Real Estate and Disclosures, Including Specialty Areas",California Real Estate Recovery Fund,What is the maximum amount that will be paid out of the Recovery Account for a transaction?,"$10,000.00","$100,000.00","$25,000.00","$50,000.00",D,"Payments from the Recovery Account are limited to $50,000 per transaction and $250,000 per licensee, regardless of the number of victims from the transaction."
examreview_103721974,31,"Practice of Real Estate and Disclosures, Including Specialty Areas",Technology,Which of the following is a true statement about the MLS and sellers?,"For most sellers, listing on the MLS is not cost effective.",It's rare for sellers to decline advertising their property on the MLS.,Most sellers dislike advertising their property on an MLS.,Sellers are required to list their properties on the MLS if they're working with a real estate licensee.,B,"In every listing agreement, sellers state whether they give permission for their property to be listed on an MLS. It's rare that sellers decline this opportunity, since the MLS is the most powerful tool that real estate professionals have at their disposal."
examreview_103721974,32,"Practice of Real Estate and Disclosures, Including Specialty Areas",Fair Housing Laws,A licensee refuses to show homes in a neighborhood with an aging demographic to a young unmarried couple with three young children. Which protected class status applies?,Age status,Familial status,Marital status,Partnership status,B,"Familial status, included in the federally protected classes, includes discrimination when someone lives with (or is about to live with, in the case of pregnancy and pending adoption) a child under the age of 18 and is treated differently from others."
examreview_103721974,33,Financing,General Concepts,"Sondra, a buyer, signs all the required mortgage documentation, promising to make all payments to her lender. Unfortunately, Sondra falls on hard times and misses multiple payments, and the bank indicates that it's going to foreclose on her. The foreclosure proceedings are more difficult for the lender because Sondra holds the deed to the land. What kind of state does Sondra live in?",A deed of trust theory state,A lien theory state,An intermediary theory state,A title theory state,B,"In a lien theory state, the mortgage becomes a lien on the property, but deed remains with the buyer. Foreclosure proceedings in a lien theory state may be more difficult for the lender."
examreview_103721974,34,"Practice of Real Estate and Disclosures, Including Specialty Areas",Disclosure of Material Facts Affecting Property Value,Which type of pest may make mud tubes-tunnels that run along the walls-or shed tiny wings?,Carpenter ants,Fire ants,Powder post beetles,Termites,D,These are indications of termite infestation.
examreview_103721974,35,Financing,Sources of Financing,"If Acme Bank, a primary lender, wants to sell its loans on the secondary market, it would be easier for it to do so if its loans meet ______.",Fannie Mae and Freddie Mac guidelines,FDIC guidelines,FHA guidelines,VA guidelines,A,"If Acme Bank meets Fannie Mae and Freddie Mac guidelines, its loans are conforming and are easier to sell on the secondary market."
examreview_103721974,36,Property Ownership and Land Use Controls and Regulations,Property Characteristics,"Jacob is a developer who purchased 78 acres and had it subdivided into half-acre lots. He decided to install sewer and underground electric for the entire subdivision, because he thinks that he will easily recoup his initial infrastructure investment. This is an example of which economic characteristic of real property?",Area preference,Immobility,Permanence of investment,Scarcity,C,"Infrastructure installation is an example of permanent improvements to a property that upgrade the entire subdivision and reduce issues down the road. They can't be easily reversed. Thus, these types of improvements represent ""permanence of investment."""
examreview_103721974,37,Property Valuation and Financial Analysis,Value,"______ is the principle that the more similar properties are on the market, the lower the price.",Competition,Conformity,Contribution,Plottage,A,"If the competition is high, and there are many similar properties on the market, prices are likely to be driven down."
examreview_103721974,38,"Practice of Real Estate and Disclosures, Including Specialty Areas",Servicing Diverse Populations,"Which of the following is a societal benefit of home ownership, according to research studies?",Community stability,Fully integrated neighborhoods,Greater amounts of open space,Increased employment opportunities,A,"While research finds many societal benefits related to home ownership, community stability tends to be the main outcome that occurs, regardless of occupant age and income levels."
examreview_103721974,39,Financing,Types of Loan Originators,"Darrel loves working in the mortgage lending industry. On a daily basis, he works with multiple lenders to find and negotiate the best deals for his customers. What is Darrel's profession?",Mortgage banker,Mortgage broker,Mortgage servicer,Real estate investor,B,"Darrel is a mortgage broker. Brokers work with multiple lenders and aren't tied to a specific suite of loan products, as mortgage bankers may be."
